     Angle(deg)           0.00 m/s           3.45 m/s           6.90 m/s          10.34 m/s          13.79 m/s          17.24 m/s          20.69 m/s          24.14 m/s          27.59 m/s          31.03 m/s          34.48 m/s          37.93 m/s          41.38 m/s          44.83 m/s          48.28 m/s          51.72 m/s          55.17 m/s          58.62 m/s          62.07 m/s          65.52 m/s          68.97 m/s          72.41 m/s          75.86 m/s          79.31 m/s          82.76 m/s          86.21 m/s          89.66 m/s          93.10 m/s          96.55 m/s         100.00 m/s
            0.0 deg          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
            1.0 deg          0.000          0.043          0.171          0.385          0.684          1.069          1.540          2.096          2.738          3.465          4.278          5.176          6.160          7.229          8.384          9.625         10.951         12.362         13.860         15.442         17.111         18.864         20.704         22.629         24.639         26.735         28.917         31.184         33.537         35.975
            2.0 deg          0.000          0.085          0.342          0.769          1.368          2.137          3.078          4.189          5.472          6.925          8.550         10.345         12.312         14.449         16.758         19.237         21.888         24.709         27.702         30.865         34.200         37.705         41.382         45.229         49.248         53.437         57.798         62.329         67.032         71.905
            3.0 deg          0.000          0.128          0.512          1.153          2.050          3.203          4.612          6.278          8.199         10.377         12.812         15.502         18.449         21.652         25.111         28.826         32.798         37.026         41.510         46.250         51.246         56.499         62.008         67.773         73.795         80.073         86.606         93.397        100.443        107.746
            4.0 deg          0.000          0.171          0.682          1.535          2.729          4.264          6.141          8.358         10.917         13.816         17.057         20.639         24.563         28.827         33.432         38.379         43.667         49.296         55.266         61.577         68.229         75.223         82.557         90.233         98.250        106.608        115.307        124.348        133.729        143.452
            5.1 deg          0.000          0.213          0.851          1.915          3.405          5.320          7.661         10.428         13.620         17.238         21.282         25.751         30.646         35.966         41.712         47.884         54.481         61.504         68.953         76.827         85.127         93.853        103.004        112.580        122.583        133.011        143.865        155.144        166.849        178.980
            6.1 deg          0.000          0.255          1.019          2.293          4.077          6.370          9.173         12.485         16.307         20.639         25.480         30.830         36.691         43.061         49.940         57.329         65.228         73.636         82.554         91.982        101.919        112.365        123.322        134.788        146.763        159.248        172.243        185.747        199.761        214.284
            7.1 deg          0.000          0.296          1.186          2.668          4.743          7.411         10.673         14.526         18.973         24.013         29.646         35.872         42.690         50.102         58.106         66.703         75.893         85.677         96.053        107.022        118.583        130.738        143.486        156.827        170.760        185.287        200.406        216.118        232.424        249.322
            8.1 deg          0.000          0.338          1.351          3.040          5.404          8.444         12.159         16.550         21.616         27.358         33.775         40.868         48.636         57.080         66.199         75.994         86.464         97.610        109.431        121.928        135.101        148.948        163.472        178.670        194.545        211.095        228.320        246.221        264.797        284.049
            9.1 deg          0.000          0.379          1.514          3.408          6.058          9.466         13.630         18.553         24.232         30.668         37.862         45.813         54.522         63.987         74.210         85.190         96.927        109.422        122.674        136.683        151.449        166.973        183.254        200.292        218.087        236.639        255.949        276.016        296.840        318.422
           10.1 deg          0.000          0.419          1.676          3.771          6.704         10.476         15.085         20.532         26.817         33.941         41.902         50.702         60.339         70.815         82.129         94.280        107.270        121.098        135.763        151.267        167.609        184.789        202.807        221.663        241.357        261.889        283.260        305.468        328.514        352.398
           11.1 deg          0.000          0.459          1.836          4.130          7.342         11.473         16.520         22.486         29.370         37.171         45.890         55.527         66.082         77.554         89.945        103.253        117.479        132.622        148.684        165.663        183.560        202.375        222.108        242.759        264.327        286.813        310.217        334.539        359.778        385.936
           12.1 deg          0.000          0.498          1.993          4.484          7.971         12.455         17.935         24.412         31.885         40.355         49.821         60.283         71.742         84.197         97.649        112.097        127.541        143.982        161.419        179.853        199.283        219.709        241.132        263.552        286.967        311.380        336.788        363.193        390.594        418.992
           13.1 deg          0.000          0.537          2.148          4.832          8.590         13.422         19.328         26.308         34.361         43.488         53.689         64.964         77.313         90.735        105.231        120.801        137.445        155.162        173.953        193.818        214.757        236.770        259.856        284.016        309.250        335.558        362.939        391.395        420.924        451.527
           14.2 deg          0.000          0.575          2.300          5.174          9.199         14.373         20.697         28.171         36.794         46.568         57.491         69.564         82.787         97.160        112.682        129.355        147.177        166.149        186.271        207.542        229.964        253.535        278.256        304.127        331.148        359.318        388.639        419.109        450.729        483.499
           15.2 deg          0.000          0.612          2.449          5.510          9.795         15.305         22.040         29.998         39.181         49.589         61.221         74.077         88.158        103.463        119.993        137.747        156.726        176.929        198.356        221.008        244.884        269.984        296.310        323.859        352.633        382.631        413.854        446.301        479.972        514.868
           16.2 deg          0.000          0.649          2.595          5.839         10.380         16.219         23.355         31.789         41.520         52.549         64.875         78.498         93.420        109.638        127.154        145.968        166.079        187.488        210.194        234.198        259.499        286.098        313.994        343.187        373.678        405.467        438.553        472.937        508.618        545.597
           17.2 deg          0.000          0.684          2.738          6.160         10.952         17.112         24.641         33.539         43.807         55.443         68.448         82.822         98.565        115.677        134.157        154.007        175.226        197.814        221.770        247.096        273.791        301.854        331.287        362.088        394.259        427.798        462.706        498.984        536.630        575.645
           18.2 deg          0.000          0.719          2.877          6.474         11.510         17.984         25.897         35.248         46.039         58.268         71.935         87.042        103.587        121.571        140.993        161.854        184.154        207.893        233.070        259.687        287.741        317.235        348.167        380.538        414.348        449.596        486.283        524.409        563.973        604.976
           19.2 deg          0.000          0.753          3.013          6.780         12.053         18.833         27.120         36.913         48.213         61.020         75.333         91.153        108.480        127.313        147.653        169.500        192.853        217.713        244.080        271.953        301.333        332.220        364.614        398.514        433.920        470.834        509.254        549.180        590.614        633.554
           20.2 deg          0.000          0.786          3.146          7.077         12.582         19.659         28.310         38.532         50.328         63.696         78.638         95.151        113.238        132.897        154.130        176.934        201.312        227.263        254.786        283.882        314.550        346.792        380.606        415.993        452.952        491.485        531.590        573.268        616.518        661.342
           21.2 deg          0.000          0.818          3.274          7.366         13.095         20.461         29.464         40.103         52.380         66.293         81.844         99.031        117.855        138.316        160.414        184.148        209.520        236.528        265.174        295.456        327.375        360.931        396.124        432.953        471.420        511.523        553.264        596.641        641.655        688.306
           22.2 deg          0.000          0.849          3.398          7.645         13.592         21.237         30.581         41.625         54.367         68.808         84.948        102.787        122.325        143.562        166.498        191.133        217.467        245.500        275.232        306.662        339.792        374.621        411.148        449.375        489.300        530.925        574.248        619.271        665.992        714.413
